,link,Proj_name,BHK,Property_type,Area,Area_type,Floor,RERA_status,Property_age,Property_type,Sale_type,Own_type,Furnishing_type,Water_type,Powerbackup,Price
129,https://www.99acres.com/1-bhk-bedroom-residential-apartments-for-sale-in-nilesh-classic-sai-colony-pune-627-sq-ft-spid-G28020650,"Nilesh Classic Sai Colony, Pune",1BHK,Residential Apartment,627 sq.ft.,Super Built-up Area,4th  of 5 Floors,NOT AVAILABLE,1 to 5 Year Old,Residential Apartment,Resale,Freehold,Unfurnished,"Municipal corporation,Borewell/Tank",None,28.5 Lac
130,https://www.99acres.com/1-bhk-bedroom-residential-apartments-for-sale-in-kohinoor-ambrosia-apartments-hadapsar-pune-700-sq-ft-spid-T42166635,"Kohinoor Ambrosia Apartments Hadapsar, Pune",1BHK,Residential Apartment,700 sq.ft.,Super Built-up Area,7th  of 9 Floors,NOT AVAILABLE,1 to 5 Year Old,Residential Apartment,Resale,Freehold,Semifurnished,NA,None,38 Lac
131,https://www.99acres.com/2-bhk-bedroom-residential-apartments-for-sale-in-silver-tower-hadapsar-pune-1800-sq-ft-spid-U51500868,"Silver Tower Hadapsar, Pune",2BHK,Residential Apartment,1800 sq.ft.,Super Built-up Area,1st  of 3 Floors,NOT AVAILABLE,1 to 5 Year Old,Residential Apartment,Resale,Co-operative Society,Semifurnished,Municipal corporation,None,58 Lac
132,https://www.99acres.com/1-bhk-bedroom-residential-apartments-for-sale-in-smart-heights-hadapsar-pune-525-sq-ft-spid-C42154163,"Smart Heights Hadapsar, Pune",1BHK,Residential Apartment,525 sq.ft.,Super Built-up Area,2nd  of 6 Floors,NOT AVAILABLE,1 to 5 Year Old,Residential Apartment,Resale,Freehold,Unfurnished,NA,None,23 Lac
133,https://www.99acres.com/1-bhk-bedroom-residential-apartments-for-sale-in-ratan-neptune-hadapsar-pune-585-sq-ft-spid-K47007001,"Ratan Neptune Hadapsar, Pune",1BHK,Residential Apartment,585 sq.ft.,Super Built-up Area,14th  of 14 Floors,REGISTERED,1 to 5 Year Old,Residential Apartment,Resale,Power of Attorney,Unfurnished,NA,None,28 Lac
134,https://www.99acres.com/1-bhk-bedroom-residential-apartments-for-sale-in-dreams-rachana-shiv-nagar-pune-613-sq-ft-spid-M46335647,"Dreams Rachana Shiv Nagar, Pune",1BHK,Residential Apartment,613 sq.ft.,Super Built-up Area,2nd  of 7 Floors,REGISTERED,5 to 10 Year Old,Residential Apartment,Resale,Freehold,Furnished,NA,Full,30 Lac
135,https://www.99acres.com/1-bhk-bedroom-residential-apartments-for-sale-in-dreams-solace-satar-nagar-pune-580-sq-ft-spid-Z50763912,"Dreams Solace Satar Nagar, Pune",1BHK,Residential Apartment,580 sq.ft.,Super Built-up Area,6th  of 6 Floors,REGISTERED,5 to 10 Year Old,Residential Apartment,Resale,Co-operative Society,Semifurnished,"Municipal corporation,Borewell/Tank",Partial,25.5 Lac
136,https://www.99acres.com/3-bhk-bedroom-residential-apartments-for-sale-in-bhairavnath-complex-tukai-darshan-pune-1400-sq-ft-spid-K52531124,"Bhairavnath Complex Tukai Darshan, Pune",3BHK,Residential Apartment,1400 sq.ft.,Carpet Area,1st  of 4 Floors,NOT AVAILABLE,1 to 5 Year Old,Residential Apartment,Resale,Freehold,Furnished,"Municipal corporation,Borewell/Tank",Full,92 Lac
137,https://www.99acres.com/2-bhk-bedroom-residential-apartments-for-sale-in-amanora-gateway-towers-hadapsar-pune-1176-sq-ft-spid-B52299736,"Amanora Gateway Towers Hadapsar, Pune",2BHK,Residential Apartment,1176 sq.ft.,Built-up Area,14th  of 45 Floors,REGISTERED,0 to 1 Year Old,Residential Apartment,Resale,Freehold,Semifurnished,Municipal corporation,Full,1.4 Cr
138,https://www.99acres.com/2-bhk-bedroom-residential-apartments-for-sale-in-ram-india-sampanna-homes-manjri-pune-1010-sq-ft-spid-B45661739,"Ram India Sampanna Homes Manjri, Pune",2BHK,Residential Apartment,1010 sq.ft.,Super Built-up Area,5th  of 7 Floors,NOT AVAILABLE,5 to 10 Year Old,Residential Apartment,Resale,Freehold,NA,Municipal corporation,Partial,55 Lac
139,https://www.99acres.com/2-bhk-bedroom-residential-apartments-for-sale-in-vanshree-apartmentshadapsar-hadapsar-pune-950-sq-ft-spid-F40559973,"vanshree apartmentsHadapsar Hadapsar, Pune",2BHK,Residential Apartment,950 sq.ft.,Super Built-up Area,1st  of 5 Floors,NOT AVAILABLE,5 to 10 Year Old,Residential Apartment,Resale,Freehold,Unfurnished,NA,None,57 Lac
140,https://www.99acres.com/1-bhk-bedroom-residential-apartments-for-sale-in-shanti-nagar-chs-hadapsar-pune-540-sq-ft-spid-N32732161,"Shanti Nagar Chs Hadapsar, Pune",1BHK,Residential Apartment,540 sq.ft.,Built-up Area,3rd  of 4 Floors,NOT AVAILABLE,0 to 1 Year Old,Residential Apartment,Resale,Freehold,Furnished,NA,None,35 Lac
141,https://www.99acres.com/2-bhk-bedroom-residential-apartments-for-sale-in-green-field-chs-hadapsar-pune-940-sq-ft-spid-W44311669,"Green Field CHS Hadapsar, Pune",2BHK,Residential Apartment,940 sq.ft.,Super Built-up Area,6th  of 7 Floors,NOT AVAILABLE,5 to 10 Year Old,Residential Apartment,Resale,Co-operative Society,Semifurnished,Borewell/Tank,Partial,65 Lac
142,https://www.99acres.com/1-bhk-bedroom-residential-apartments-for-sale-in-the-laurel's-society-gadital-pune-700-sq-ft-spid-E47313391,"The Laurel's Society Gadital, Pune",1BHK,Residential Apartment,700 sq.ft.,Super Built-up Area,7th  of 7 Floors,NOT AVAILABLE,5 to 10 Year Old,Residential Apartment,Resale,Co-operative Society,Furnished,Municipal corporation,Partial,52.46 Lac
143,https://www.99acres.com/1-bhk-bedroom-residential-apartments-for-sale-in-om-geet-mala-udyog-nagar-pune-660-sq-ft-spid-P48154669,"Om Geet Mala Udyog Nagar, Pune",1BHK,Residential Apartment,660 sq.ft.,Built-up Area,1st  of 3 Floors,NOT AVAILABLE,10+ Year Old,Residential Apartment,Resale,Freehold,NA,Municipal corporation,None,38 Lac
144,https://www.99acres.com/2-bhk-bedroom-residential-apartments-for-sale-in-shrikrishna-avenue-kalepadal-pune-725-sq-ft-spid-H52758314,"Shrikrishna Avenue Kalepadal, Pune",2BHK,Residential Apartment,725 sq.ft.,Built-up Area,2nd  of 4 Floors,NOT AVAILABLE,10+ Year Old,Residential Apartment,Resale,Freehold,Semifurnished,"Municipal corporation,Borewell/Tank",None,38 Lac
145,https://www.99acres.com/1-bhk-bedroom-residential-apartments-for-sale-in-suyash-srushti-hadapsar-pune-605-sq-ft-spid-F49831228,"Suyash Srushti Hadapsar, Pune",1BHK,Residential Apartment,605 sq.ft.,Super Built-up Area,1st  of 4 Floors,NOT AVAILABLE,10+ Year Old,Residential Apartment,Resale,Freehold,NA,NA,Full,29 Lac
146,https://www.99acres.com/1-bhk-bedroom-residential-apartments-for-sale-in-kuber-shrusti-hadapsar-pune-560-sq-ft-spid-T49684266,"Kuber Shrusti Hadapsar, Pune",1BHK,Residential Apartment,560 sq.ft.,Super Built-up Area,3rd  of 4 Floors,NOT AVAILABLE,1 to 5 Year Old,Residential Apartment,Resale,Co-operative Society,Unfurnished,"Municipal corporation,Borewell/Tank",Full,32 Lac
147,https://www.99acres.com/1-bhk-bedroom-residential-apartments-for-sale-in-the-laurel's-gadital-pune-750-sq-ft-spid-D45444995,"The Laurel's Gadital, Pune",1BHK,Residential Apartment,750 sq.ft.,Super Built-up Area,7th  of 7 Floors,NOT AVAILABLE,1 to 5 Year Old,Residential Apartment,Resale,Co-operative Society,Semifurnished,Municipal corporation,None,52.55 Lac
148,https://www.99acres.com/1-bhk-bedroom-residential-apartments-for-sale-in-shivangan-heights-mahadeonagar-pune-550-sq-ft-spid-O49960760,"Shivangan Heights Mahadeonagar, Pune",1BHK,Residential Apartment,550 sq.ft.,Built-up Area,3rd  of 4 Floors,NOT AVAILABLE,1 to 5 Year Old,Residential Apartment,Resale,Freehold,Unfurnished,Borewell/Tank,None,26 Lac
149,https://www.99acres.com/1-bhk-bedroom-residential-apartments-for-sale-in-nilesh-samruddhi-hadapsar-pune-650-sq-ft-spid-K49942498,"Nilesh Samruddhi Hadapsar, Pune",1BHK,Residential Apartment,650 sq.ft.,Super Built-up Area,5th  of 11 Floors,NOT AVAILABLE,1 to 5 Year Old,Residential Apartment,Resale,Freehold,Furnished,NA,Full,33 Lac
150,https://www.99acres.com/2-bhk-bedroom-residential-apartments-for-sale-in-a-v-bhat-etasha-hadapsar-pune-1150-sq-ft-spid-Z49627358,"A V Bhat Etasha Hadapsar, Pune",2BHK,Residential Apartment,1150 sq.ft.,Super Built-up Area,5th  of 9 Floors,NOT AVAILABLE,5 to 10 Year Old,Residential Apartment,Resale,Freehold,Semifurnished,"Municipal corporation,Borewell/Tank",Partial,60 Lac
151,https://www.99acres.com/2-bhk-bedroom-residential-apartments-for-sale-in-kumar-pebble-park-hadapsar-pune-956-sq-ft-spid-J40902405,"Kumar Pebble Park Hadapsar, Pune",2BHK,Residential Apartment,956 sq.ft.,Super Built-up Area,14th  of 15 Floors,REGISTERED,0 to 1 Year Old,Residential Apartment,Resale,Freehold,NA,Municipal corporation,None,58.62 Lac
152,https://www.99acres.com/1-bhk-bedroom-residential-apartments-for-sale-in-krishnas-blessings-manjri-pune-721-sq-ft-spid-H51213138,"Krishnas Blessings Manjri, Pune",1BHK,Residential Apartment,721 sq.ft.,Super Built-up Area,5th  of 11 Floors,REGISTERED,1 to 5 Year Old,Residential Apartment,Resale,Freehold,Unfurnished,NA,None,54 Lac
153,https://www.99acres.com/2-bhk-bedroom-residential-apartments-for-sale-in-dreams-aakruti-hadapsar-pune-900-sq-ft-spid-H38077887,"Dreams Aakruti Hadapsar, Pune",2BHK,Residential Apartment,900 sq.ft.,Super Built-up Area,11st  of 11 Floors,REGISTERED,1 to 5 Year Old,Residential Apartment,Resale,Freehold,NA,Municipal corporation,Partial,55 Lac
154,https://www.99acres.com/10-bhk-bedroom-residential-apartments-for-sale-in-hights-tukai-darshan-pune-5000-sq-ft-spid-I54851402,"Hights Tukai Darshan, Pune",10BHK,Residential Apartment,5000 sq.ft.,Built-up Area,5th  of 5 Floors,NOT AVAILABLE,1 to 5 Year Old,Residential Apartment,Resale,Freehold,Semifurnished,"Municipal corporation,Borewell/Tank",None,1.4 Cr
155,https://www.99acres.com/2-bhk-bedroom-residential-apartments-for-sale-in-wellwisher-kiarah-terrazo-hadapsar-pune-753-sq-ft-spid-F54841994,"Wellwisher Kiarah Terrazo Hadapsar, Pune",2BHK,Residential Apartment,69.91 sq.ft.,Carpet Area,9th  of 9 Floors,REGISTERED,0 to 1 Year Old,Residential Apartment,Resale,Freehold,Semifurnished,"Municipal corporation,Borewell/Tank",Partial,70 Lac
156,https://www.99acres.com/2-bhk-bedroom-residential-apartments-for-sale-in-narayani-apartments-manjari-budruk-pune-780-sq-ft-spid-J52239526,"Narayani Apartments Manjari Budruk, Pune",2BHK,Residential Apartment,780 sq.ft.,Super Built-up Area,3rd  of 4 Floors,NOT AVAILABLE,1 to 5 Year Old,Residential Apartment,Resale,Freehold,Semifurnished,NA,None,55 Lac
157,https://www.99acres.com/1-bhk-bedroom-residential-apartments-for-sale-in-dreams-solace-satar-nagar-pune-551-sq-ft-spid-J41276557,"Dreams Solace Satar Nagar, Pune",1BHK,Residential Apartment,551 sq.ft.,Super Built-up Area,6th  of 6 Floors,REGISTERED,Under Construction,Residential Apartment,Resale,Freehold,Unfurnished,NA,Full,32 Lac
158,https://www.99acres.com/2-bhk-bedroom-residential-apartments-for-sale-in-manoj-rajtara-complex-manjri-pune-1216-sq-ft-spid-J51015740,"Manoj Rajtara Complex Manjri, Pune",2BHK,Residential Apartment,1216 sq.ft.,Built-up Area,2nd  of 5 Floors,NOT AVAILABLE,1 to 5 Year Old,Residential Apartment,Resale,Co-operative Society,Semifurnished,Borewell/Tank,None,55 Lac
159,https://www.99acres.com/2-bhk-bedroom-residential-apartments-for-sale-in-iris-hadapsar-pune-985-sq-ft-spid-X46803089,"Iris Hadapsar, Pune",2BHK,Residential Apartment,985 sq.ft.,Built-up Area,9th  of 9 Floors,NOT AVAILABLE,10+ Year Old,Residential Apartment,Resale,Freehold,Furnished,"Municipal corporation,Borewell/Tank",Full,95 Lac
160,https://www.99acres.com/2-bhk-bedroom-independent-house-for-sale-in-chandan-gulab-path-gondhale-nagar-pune-1000-sq-ft-spid-H53890154,"Chandan Gulab Path Gondhale Nagar, Pune",2Bedrooms,Independent House/Villa,550 sq.ft.,Super Built-up Area,2 Floors,NOT AVAILABLE,10+ Year Old,Independent House/Villa,Resale,Freehold,Semifurnished,NA,None,32.1 Lac
161,https://www.99acres.com/1-bhk-bedroom-residential-apartments-for-sale-in-subhash-vardhaman-township-hadapsar-pune-714-sq-ft-spid-P45928897,"Subhash Vardhaman Township Hadapsar, Pune",1BHK,Residential Apartment,714 sq.ft.,Super Built-up Area,2nd  of 7 Floors,NOT AVAILABLE,1 to 5 Year Old,Residential Apartment,Resale,Freehold,Semifurnished,NA,None,37 Lac
162,https://www.99acres.com/1-bhk-bedroom-residential-apartments-for-sale-in-nirmal-township-hadapsar-pune-555-sq-ft-spid-M56318508,"Nirmal Township Hadapsar, Pune",1BHK,Residential Apartment,555 sq.ft.,Built-up Area,2nd  of 4 Floors,NOT AVAILABLE,10+ Year Old,Residential Apartment,Resale,Freehold,Unfurnished,NA,None,23 Lac
163,https://www.99acres.com/2-bhk-bedroom-residential-apartments-for-sale-in-magarpatta-city-jasminium-magarpatta-pune-1275-sq-ft-spid-C53470406,"Magarpatta City Jasminium Magarpatta, Pune",2BHK,Residential Apartment,1275 sq.ft.,Super Built-up Area,7th  of 11 Floors,NOT AVAILABLE,10+ Year Old,Residential Apartment,Resale,Freehold,Furnished,Municipal corporation,Full,1.25 Cr
164,https://www.99acres.com/2-bhk-bedroom-residential-apartments-for-sale-in-suyash-nisarg-hadapsar-pune-963-sq-ft-spid-W42426489,"Suyash Nisarg Hadapsar, Pune",2BHK,Residential Apartment,963 sq.ft.,Super Built-up Area,10th  of 11 Floors,NOT AVAILABLE,1 to 5 Year Old,Residential Apartment,Resale,Freehold,Semifurnished,"Municipal corporation,Borewell/Tank",Partial,58 Lac
165,https://www.99acres.com/2-bhk-bedroom-residential-apartments-for-sale-in-vishal-arc-glory-hadapsar-pune-1100-sq-ft-spid-P56311452,"Vishal Arc Glory Hadapsar, Pune",2BHK,Residential Apartment,1100 sq.ft.,Carpet Area,8th  of 8 Floors,NOT AVAILABLE,1 to 5 Year Old,Residential Apartment,Resale,Freehold,Semifurnished,"Municipal corporation,Borewell/Tank",Partial,58 Lac
166,https://www.99acres.com/2-bhk-bedroom-residential-apartments-for-sale-in-dreams-aakruti-hadapsar-pune-930-sq-ft-spid-B56299832,"Dreams Aakruti Hadapsar, Pune",2BHK,Residential Apartment,930 sq.ft.,Built-up Area,9th  of 10 Floors,REGISTERED,1 to 5 Year Old,Residential Apartment,Resale,Freehold,Furnished,NA,None,50 Lac
167,https://www.99acres.com/1-bhk-bedroom-residential-apartments-for-sale-in-dreams-aakruti-hadapsar-pune-400-sq-ft-spid-A56287754,"Dreams Aakruti Hadapsar, Pune",1BHK,Residential Apartment,400 sq.ft.,Carpet Area,6th  of 10 Floors,REGISTERED,5 to 10 Year Old,Residential Apartment,Resale,Freehold,NA,NA,None,28 Lac
168,https://www.99acres.com/1-bhk-bedroom-residential-apartments-for-sale-in-koyal-hights-tukai-darshan-pune-700-sq-ft-spid-Q34132957,"Koyal hights Tukai Darshan, Pune",1BHK,Residential Apartment,700 sq.ft.,Super Built-up Area,2nd  of 4 Floors,NOT AVAILABLE,5 to 10 Year Old,Residential Apartment,Resale,Freehold,NA,Municipal corporation,Full,45 Lac
169,https://www.99acres.com/1-bhk-bedroom-residential-apartments-for-sale-in-dhavel-unnati-unnatinagar-pune-674-sq-ft-spid-U35170477,"Dhavel Unnati Unnatinagar, Pune",1BHK,Residential Apartment,674 sq.ft.,Super Built-up Area,3rd  of 5 Floors,NOT AVAILABLE,1 to 5 Year Old,Residential Apartment,Resale,Freehold,Unfurnished,"Municipal corporation,Borewell/Tank",Partial,33.7 Lac
170,https://www.99acres.com/1-bhk-bedroom-builder-floor-for-sale-in-monica-plaza-tukai-darshan-pune-577-sq-ft-spid-O56273898,"MONICA PLAZA Tukai Darshan, Pune",1BHK,Independent/Builder Floor,577 sq.ft.,Built-up Area,4th  of 6 Floors,NOT AVAILABLE,5 to 10 Year Old,Independent/Builder Floor,NA,Co-operative Society,Semifurnished,Borewell/Tank,None,22 Lac
171,https://www.99acres.com/4-bhk-bedroom-builder-floor-for-sale-in-manjri-pune-1260-sq-ft-spid-V34467905,"Manjri, Pune",4BHK,Independent/Builder Floor,1260 sq.ft.,Built-up Area,Ground of 4 Floors,NOT AVAILABLE,1 to 5 Year Old,Independent/Builder Floor,NA,Freehold,Semifurnished,NA,None,38 Lac
172,https://www.99acres.com/1-bhk-bedroom-residential-apartments-for-sale-in-vishal-arc-glory-hadapsar-pune-587-sq-ft-spid-L56270062,"Vishal Arc Glory Hadapsar, Pune",1BHK,Residential Apartment,587 sq.ft.,Super Built-up Area,3rd  of 10 Floors,NOT AVAILABLE,5 to 10 Year Old,Residential Apartment,Resale,Freehold,Semifurnished,NA,None,32 Lac
173,https://www.99acres.com/1-bhk-bedroom-builder-floor-for-sale-in-hadapsar-pune-400-sq-ft-spid-P56269808,"Hadapsar, Pune",1BHK,Independent/Builder Floor,400 sq.ft.,Built-up Area,5th  of 5 Floors,NOT AVAILABLE,5 to 10 Year Old,Independent/Builder Floor,NA,Freehold,Unfurnished,NA,None,16 Lac
174,https://www.99acres.com/2-bhk-bedroom-residential-apartments-for-sale-in-dreams-elegance-hadapsar-pune-1030-sq-ft-spid-H27899644,"Dreams Elegance Hadapsar, Pune",2BHK,Residential Apartment,1030 sq.ft.,Built-up Area,6th  of 9 Floors,REGISTERED,1 to 5 Year Old,Residential Apartment,Resale,Freehold,NA,NA,None,57 Lac
175,https://www.99acres.com/6-bhk-bedroom-independent-house-for-sale-in-hadapsar-pune-5200-sq-ft-spid-H27696191,"Hadapsar, Pune",6Bedrooms,Independent House/Villa,5200 sq.ft.,Super Built-up Area,2 Floors,NOT AVAILABLE,10+ Year Old,Independent House/Villa,Resale,Freehold,NA,NA,None,6 Cr
176,https://www.99acres.com/1-bhk-bedroom-builder-floor-for-sale-in-anusaya-vishv-hadapsar-pune-557-sq-ft-spid-S56256114,"anusaya vishv Hadapsar, Pune",1BHK,Independent/Builder Floor,557 sq.ft.,Super Built-up Area,1st  of 5 Floors,NOT AVAILABLE,5 to 10 Year Old,Independent/Builder Floor,NA,Freehold,NA,NA,None,19 Lac
177,https://www.99acres.com/1-bhk-bedroom-residential-apartments-for-sale-in-dreams-aakruti-hadapsar-pune-600-sq-ft-spid-I56244250,"Dreams Aakruti Hadapsar, Pune",1BHK,Residential Apartment,600 sq.ft.,Built-up Area,6th  of 10 Floors,REGISTERED,5 to 10 Year Old,Residential Apartment,Resale,Freehold,Semifurnished,NA,Partial,30 Lac
178,https://www.99acres.com/1-bhk-bedroom-residential-apartments-for-sale-in-vivek-apartment-hadapsar-pune-550-sq-ft-spid-V56242074,"Vivek Apartment Hadapsar, Pune",1BHK,Residential Apartment,550 sq.ft.,Super Built-up Area,2nd  of 3 Floors,NOT AVAILABLE,10+ Year Old,Residential Apartment,Resale,Freehold,Unfurnished,NA,None,30 Lac
179,https://www.99acres.com/1-bhk-bedroom-residential-apartments-for-sale-in-dreams-aakruti-hadapsar-pune-710-sq-ft-spid-U56237258,"Dreams Aakruti Hadapsar, Pune",1BHK,Residential Apartment,710 sq.ft.,Super Built-up Area,6th  of 11 Floors,REGISTERED,5 to 10 Year Old,Residential Apartment,Resale,Co-operative Society,NA,"Municipal corporation,Borewell/Tank",None,32 Lac
180,https://www.99acres.com/21-bhk-bedroom-independent-house-for-sale-in-hadapsar-pune-4500-sq-ft-spid-K27460777,"Hadapsar, Pune",21Bedrooms,Independent House/Villa,1300 sq.ft.,Super Built-up Area,3 Floors,NOT AVAILABLE,5 to 10 Year Old,Independent House/Villa,Resale,Freehold,NA,NA,None,1.25 Cr
181,https://www.99acres.com/2-bhk-bedroom-residential-apartments-for-sale-in-shree-krishna-prima-kale-padal-pune-960-sq-ft-spid-R34145695,"Shree krishna Prima Kale Padal, Pune",2BHK,Residential Apartment,960 sq.ft.,Built-up Area,1st  of 5 Floors,NOT AVAILABLE,0 to 1 Year Old,Residential Apartment,Resale,Freehold,NA,NA,None,42 Lac
182,https://www.99acres.com/2-bhk-bedroom-residential-apartments-for-sale-in-msr-queenstown-udyog-nagar-pune-1250-sq-ft-spid-E56233928,"MSR Queenstown Udyog Nagar, Pune",2BHK,Residential Apartment,1250 sq.ft.,Built-up Area,9th  of 13 Floors,NOT AVAILABLE,1 to 5 Year Old,Residential Apartment,Resale,Freehold,Semifurnished,"Municipal corporation,Borewell/Tank",Partial,1.1 Cr
183,https://www.99acres.com/3-bhk-bedroom-residential-apartments-for-sale-in-amanora-future-towers-hadapsar-pune-2695-sq-ft-spid-V35012939,"Amanora Future Towers Hadapsar, Pune",3BHK,Residential Apartment,2695 sq.ft.,Super Built-up Area,18th  of 26 Floors,NOT AVAILABLE,0 to 1 Year Old,Residential Apartment,Resale,Co-operative Society,NA,NA,Full,3 Cr
184,https://www.99acres.com/2-bhk-bedroom-residential-apartments-for-sale-in-vidhate-complex-gadital-pune-825-sq-ft-spid-E36787795,"Vidhate Complex Gadital, Pune",2BHK,Residential Apartment,825 sq.ft.,Super Built-up Area,3rd  of 3 Floors,NOT AVAILABLE,10+ Year Old,Residential Apartment,Resale,Freehold,NA,Municipal corporation,None,70 Lac
185,https://www.99acres.com/1-bhk-bedroom-residential-apartments-for-sale-in-damodar-vihar-manjri-pune-550-sq-ft-spid-Q56227992,"Damodar Vihar Manjri, Pune",1BHK,Residential Apartment,550 sq.ft.,Carpet Area,1st  of 4 Floors,NOT AVAILABLE,1 to 5 Year Old,Residential Apartment,Resale,Freehold,Semifurnished,"Borewell/Tank,Municipal corporation",Partial,34 Lac
186,https://www.99acres.com/1-bhk-bedroom-residential-apartments-for-sale-in-dreams-aakruti-hadapsar-pune-550-sq-ft-spid-Z56218370,"Dreams Aakruti Hadapsar, Pune",1BHK,Residential Apartment,550 sq.ft.,Super Built-up Area,3rd  of 10 Floors,REGISTERED,5 to 10 Year Old,Residential Apartment,Resale,Freehold,Unfurnished,NA,None,27.8 Lac
187,https://www.99acres.com/2-bhk-bedroom-residential-apartments-for-sale-in-gini-sanskruti-udyog-nagar-pune-1050-sq-ft-spid-O56216174,"Gini Sanskruti Udyog Nagar, Pune",2BHK,Residential Apartment,1050 sq.ft.,Super Built-up Area,8th  of 9 Floors,NOT AVAILABLE,5 to 10 Year Old,Residential Apartment,Resale,Leasehold,NA,NA,None,58 Lac
188,https://www.99acres.com/3-bhk-bedroom-independent-house-for-sale-in-hadapsar-pune-2200-sq-ft-spid-R46410869,"Hadapsar, Pune",3Bedrooms,Independent House/Villa,2200 sq.ft.,Built-up Area,NA,NOT AVAILABLE,10+ Year Old,Independent House/Villa,Resale,Freehold,Unfurnished,NA,None,1.25 Cr
189,https://www.99acres.com/1-bhk-bedroom-builder-floor-for-sale-in-hadapsar-pune-635-sq-ft-spid-G37766625,"Hadapsar, Pune",1BHK,Independent/Builder Floor,635 sq.ft.,Built-up Area,2nd  of 6 Floors,NOT AVAILABLE,10+ Year Old,Independent/Builder Floor,NA,Freehold,Unfurnished,NA,Full,33 Lac
190,https://www.99acres.com/2-bhk-bedroom-residential-apartments-for-sale-in-chourang-smitshilp-mahadeonagar-pune-1350-sq-ft-spid-H37363439,"Chourang Smitshilp Mahadeonagar, Pune",2BHK,Residential Apartment,1350 sq.ft.,Super Built-up Area,1st  of 6 Floors,NOT AVAILABLE,5 to 10 Year Old,Residential Apartment,Resale,Freehold,NA,Municipal corporation,Partial,75 Lac
191,https://www.99acres.com/1-bhk-bedroom-residential-apartments-for-sale-in-nhavale-nisarg-classic-bijle-nagar-pune-650-sq-ft-spid-Y56201400,"Nhavale Nisarg Classic Bijle Nagar, Pune",1BHK,Residential Apartment,650 sq.ft.,Super Built-up Area,3rd  of 6 Floors,NOT AVAILABLE,5 to 10 Year Old,Residential Apartment,Resale,Freehold,Unfurnished,NA,None,29 Lac
192,https://www.99acres.com/2-bhk-bedroom-residential-apartments-for-sale-in-greenfield-chs-hadapsar-pune-642-sq-ft-spid-U56198382,"greenfield chs Hadapsar, Pune",2BHK,Residential Apartment,59.64 sq.ft.,Carpet Area,2nd  of 7 Floors,NOT AVAILABLE,5 to 10 Year Old,Residential Apartment,Resale,Freehold,Unfurnished,NA,None,65 Lac
193,https://www.99acres.com/2-bhk-bedroom-residential-apartments-for-sale-in-amanora-trendy-homes-hadapsar-pune-1070-sq-ft-spid-Q56179358,"Amanora Trendy Homes Hadapsar, Pune",2BHK,Residential Apartment,1070 sq.ft.,Super Built-up Area,9th  of 21 Floors,NOT AVAILABLE,5 to 10 Year Old,Residential Apartment,Resale,Leasehold,Semifurnished,Municipal corporation,Full,83 Lac
194,https://www.99acres.com/1-bhk-bedroom-residential-apartments-for-sale-in-chourang-smit-shilp-housing-society-manjari-budruk-pune-610-sq-ft-spid-Z56175348,"Chourang Smit Shilp Housing Society Manjari Budruk, Pune",1BHK,Residential Apartment,610 sq.ft.,Carpet Area,4th  of 7 Floors,NOT AVAILABLE,5 to 10 Year Old,Residential Apartment,Resale,Co-operative Society,Unfurnished,Municipal corporation,Partial,27 Lac
195,https://www.99acres.com/2-bhk-bedroom-residential-apartments-for-sale-in-siddhivinayak-pride-manjari-budruk-pune-750-sq-ft-spid-C56172636,"Siddhivinayak Pride Manjari Budruk, Pune",2BHK,Residential Apartment,750 sq.ft.,Carpet Area,4th  of 10 Floors,REGISTERED,1 to 5 Year Old,Residential Apartment,Resale,Co-operative Society,Furnished,NA,Full,65 Lac
196,https://www.99acres.com/2-bhk-bedroom-residential-apartments-for-sale-in-kumar-kubera-sankul-riddhi-hadapsar-pune-780-sq-ft-spid-O56171922,"Kumar Kubera Sankul Riddhi Hadapsar, Pune",2BHK,Residential Apartment,780 sq.ft.,Super Built-up Area,7th  of 7 Floors,NOT AVAILABLE,5 to 10 Year Old,Residential Apartment,Resale,Freehold,NA,NA,None,55 Lac
197,https://www.99acres.com/2-bhk-bedroom-residential-apartments-for-sale-in-simplicity-apartments-hadapsar-pune-800-sq-ft-spid-L51720764,"Simplicity Apartments Hadapsar, Pune",2BHK,Residential Apartment,800 sq.ft.,Carpet Area,7th  of 7 Floors,NOT AVAILABLE,0 to 1 Year Old,Residential Apartment,Resale,Freehold,Unfurnished,Municipal corporation,Partial,47 Lac
198,https://www.99acres.com/studio-apartments-for-sale-in-amanora-park-town-hadapsar-pune-400-sq-ft-spid-V56170392,"Amanora Park Town Hadapsar, Pune",1RK,Studio Apartment,400 sq.ft.,Super Built-up Area,3rd  of 11 Floors,NOT AVAILABLE,10+ Year Old,Studio Apartment,Resale,Freehold,Furnished,NA,None,45 Lac
199,https://www.99acres.com/2-bhk-bedroom-residential-apartments-for-sale-in-leisure-town-hadapsar-pune-1015-sq-ft-spid-G33488165,"Leisure Town Hadapsar, Pune",2BHK,Residential Apartment,1015 sq.ft.,Super Built-up Area,2nd  of 12 Floors,REGISTERED,Under Construction,Residential Apartment,Resale,Freehold,NA,NA,Full,75 Lac
